,Nom,Mouvement,summary,sum_lem,mvm_label
10,John Wieners,Beat Generation,"John Joseph Wieners, né à Boston dans le Massachusetts le 6 janvier 1934, mort à Boston le 1er mars 2002, est un poète et un universitaire américain qui fut une figure majeure de la Beat Generation, de la San Francisco Renaissance, de la New School de New York, un pacifiste et un activiste de la cause des gays.",John Joseph Wieners naître Boston Massachusetts 6 janvier 1934 mort Boston premier mars 2002 poète universitaire américain figure majeur Beat Generation San Francisco Renaissance New School New York pacifiste activiste cause gay,0
11,Sherwood Anderson,Génération perdue,"Sherwood Anderson, né le 13 septembre 1876 à Camden (Ohio) et décédé le 8 mars 1941 à Panama, est un romancier américain surtout connu pour ses nouvelles, notamment le recueil Winesburg-en-Ohio, qui met en scène de petites gens, des personnages parfois frustrés de leur vie et dont l'action se situe dans l'Ohio.
Il a influencé quelques grandes figures de la fiction américaine, notamment Ernest Hemingway, William Faulkner, Thomas Wolfe, John Steinbeck ou Erskine Caldwell,.",Sherwood Anderson naître 13 septembre 1876 Camden Ohio décéder 8 mars 1941 Panama romancier américain surtout connaître nouveau notamment recueil mettre scène petit gens personnage parfois frustrer vie dont action situe Ohio il avoir influencer quelque grand figure fiction américain notamment Ernest Hemingway William Faulkner Thomas Wolfe John Steinbeck Erskine Caldwell,1
12,Sylvia Beach,Génération perdue,"Sylvia Beach, née Nancy Woodbridge Beach le 14 mars 1887 à Baltimore, Maryland et décédée le 3 octobre 1962 à Paris 6e, est une libraire, traductrice et éditrice américaine.
Elle est connue pour sa célèbre librairie parisienne Shakespeare and Company où elle publia, en 1922, la première édition d'Ulysses de James Joyce.",Sylvia Beach naître Nancy Woodbridge Beach 14 mars 1887 Baltimore Maryland décéder 3 octobre 1962 Paris 6e libraire traductrice éditeur américain lui connaître célèbre librairie parisien Shakespeare and Company où publia 1922 premier édition ulysse James Joyce,1
13,E. E. Cummings,Génération perdue,"Edward Estlin Cummings, plus connu sous le diminutif de e. e. cummings (né le 14 octobre 1894 à Cambridge, Massachusetts et mort le 3 septembre 1962), est un poète, écrivain et peintre américain.
Son œuvre est composée de plus de deux mille neuf cents poèmes, de quelques pièces, d'essais, et de deux nouvelles ainsi que de nombreux dessins, esquisses et peintures. Il est l'un des grands poètes du XXe siècle et l'un des plus populaires.",Edward Estlin Cummings plus connaître sous diminutif cumming naître 14 octobre 1894 Cambridge Massachusetts mort 3 septembre 1962 poète écrivain peintr américain son œuvre composer plus deux mille neuf cent poème quelque pièce essai deux nouveau ainsi nombreux dessin esquisse peinture il grand poète xx siècle plus populaire,1
14,John Dos Passos,Génération perdue,"John Roderigo Dos Passos, né le 14 janvier 1896 à Chicago et mort le 28 septembre 1970 à Baltimore, est un écrivain et un peintre américain. Dos Passos est connu pour son œuvre littéraire dans laquelle il commente les événements turbulents du XXe siècle, lui donnant la réputation d'un critique acharné de la politique et du mode de vie américain.
Proche des libertaires pendant  l'affaire Sacco et Vanzetti,, il développe des sympathies communistes dans les années 1920 et 1930, mais change de cap après qu'un de ses meilleurs amis, José Robles, eut été exécuté par les staliniens pendant les journées de mai 1937 à Barcelone lors de la guerre civile espagnole.
Familier des techniques du réalisme et du courant de conscience, John Dos Passos les utilise pour asseoir une analyse sociale pessimiste. Il y décrit la vie de quelques personnages représentant différentes classes sociales, leurs espoirs et leurs désillusions. En cela il se rapproche d'un certain réalisme socialiste qu'il ne renie pas, puisqu'il avoue une admiration sans faille pour Eisenstein. De là vint d'ailleurs ce terme de « littérature cinématographique » utilisé par de nombreux critiques à propos de ses livres.
Au cours d'une longue carrière faite de succès, Dos Passos écrit quarante-deux romans, des poèmes, des essais, des pièces de théâtre et crée plus de quatre cents œuvres d'art. On retiendra surtout de lui Manhattan Transfer et sa trilogie  U.S.A., écrits dans les années 1920 et 1930, période où il est à l'acmé de sa gloire littéraire.",John Roderigo Dos Passos naître 14 janvier 1896 Chicago mort 28 septembre 1970 Baltimore écrivain peintre américain dos Passos connaître œuvre littéraire lequel commente événement turbulent xx siècle donner réputation critique acharner politique mode vie américain proche libertaire pendant affaire Sacco Vanzetti développe sympathie communiste année 1920 1930 change cap après meilleur ami josé Robles exécuter stalinien pendant journée mai 1937 Barcelone lors guerre civil espagnol Familier technique réalisme courant conscience John Dos Passos utilise asseoir analyse social pessimiste il décrire vie quelque personnage représentant différents classe social leur espoir leur désillusion en cela rapproche certain réalisme socialiste renier avoue admiration sans faille Eisenstein de là vint ailleurs terme littérature cinématographique utiliser nombreux critique propos livre au cours long carrière faire succès Dos Passos écrire quarante deux roman poème essai pièce théâtre créer plus quatre cent œuvre art on retenir surtout Manhattan Transfer trilogie écrire année 1920 1930 période où acmé gloire littéraire,1
15,T. S. Eliot,Génération perdue,"T. S. Eliot, de son nom complet Thomas Stearns Eliot (26 septembre 1888 - 4 janvier 1965), est un poète, dramaturge et critique littéraire américain naturalisé britannique. Il a reçu le prix Nobel de littérature en 1948.
Il est d'abord proche de la modernité poétique américaine et du groupe formé autour d'Ezra Pound, qui publie dans sa revue le poème d'Eliot La Chanson d'amour de J. Alfred Prufrock (1917), et à qui est dédié La Terre vaine (1922). Après sa conversion à l'anglicanisme et sa naturalisation britannique, il se tourne vers une écriture centrée sur la spiritualité, représentée notamment par Quatre Quatuors (1939-1942), qui lui vaudront le prix Nobel de littérature en 1948. Il écrit également sept pièces de théâtre et un grand nombre d'essais sur la poésie et sur des auteurs comme William Shakespeare et Ezra Pound.",Eliot nom complet Thomas Stearns Eliot 26 septembre 1888 4 janvier 1965 poète dramaturge critique littéraire américain naturaliser britannique il avoir recevoir prix Nobel littérature 1948 il abord proche modernité poétique américaine groupe formé autour Ezra Pound publier revue poème Eliot le chanson amour Alfred Prufrock 1917 dédier le terre vain 1922 après conversion anglicanisme naturalisation britannique tourne vers écriture centrer spiritualité représenter notamment quatre quatuors 1939 1942 valoir prix Nobel littérature 1948 il écrire également sept pièce théâtre grand nombre essai poésie auteur comme William Shakespeare Ezra Pound,1
16,F. Scott Fitzgerald,Génération perdue,"Francis Scott Key Fitzgerald, né le 24 septembre 1896 à Saint Paul, Minnesota et mort le 21 décembre 1940 à Hollywood, est un écrivain américain.
Chef de file de la Génération perdue et représentant de l'Ère du Jazz, il est aussi celui qui lance la carrière d'Ernest Hemingway. Son roman le plus célèbre reste Gatsby le Magnifique, succès planétaire qui fut adapté de nombreuses fois au cinéma, à la télévision ou sur scène. 
Il se marie en 1920 avec Zelda Sayre, une jeune fille du Sud qui sera son égérie (et l'auteur d'un roman autobiographique : Accordez-moi cette valse, publié en 1932). Ils ont une fille, Frances Scott Fitzgerald, qu'ils surnomment « Scottie ».",Francis Scott Key fitzgerald naître 24 septembre 1896 Saint Paul Minnesota mort 21 décembre 1940 Hollywood écrivain américain chef file génération perdre représentant Ère Jazz aussi celui lancer carrière Ernest Hemingway son roman plus célèbre reste gatsby magnifique succès planétaire adapter nombreux fois cinéma télévision scène il marier 1920 Zelda Sayre jeune fille Sud égérie auteur roman autobiographique Accordez ce valse publier 1932 il fille france Scott fitzgerald surnommer Scottie,1
17,Ernest Hemingway,Génération perdue,"Ernest Hemingway [ˈɝnɪst ˈhɛmɪŋˌweɪ], né le 21 juillet 1899 à Oak Park dans l'Illinois aux États-Unis et mort le 2 juillet 1961 à Ketchum (Idaho), est un écrivain, journaliste et correspondant de guerre américain.
Son style d'écriture, caractérisé par l'économie et la litote, a influencé le roman du XXe siècle, comme l'ont fait sa vie d'aventurier et l'image publique qu'il entretenait. Il a écrit la plupart de ses œuvres entre le milieu des années 1920 et le milieu des années 1950, et sa carrière a culminé en 1954 lorsqu'il a reçu le prix Nobel de littérature. Ses romans ont rencontré un grand succès auprès du public du fait de la véracité avec laquelle il dépeignait ses personnages. Plusieurs de ses œuvres furent élevées au rang de classiques de la littérature américaine. Il a publié de son vivant sept romans, six recueils de nouvelles et deux œuvres non romanesques. Trois romans, quatre recueils de nouvelles et trois œuvres non romanesques ont été publiés à titre posthume.
Hemingway est né et a grandi à Oak Park, une ville située en banlieue ouest de Chicago dans l'Illinois. Après avoir quitté le lycée, il a travaillé pendant quelques mois en tant que journaliste reporter au Kansas City Star, avant de partir pour le front italien et devenir ambulancier pendant la Première Guerre mondiale, ce qui a servi de fondement à son roman L'Adieu aux armes. Il fut grièvement blessé et passa alors plus de trois mois à l'hôpital. À sa sortie, il s'engagea dans l'armée italienne. 
En 1922, Hemingway épousa Hadley Richardson, la première de ses quatre épouses, et le couple s'installa à Paris où il travailla comme correspondant étranger. Au cours de cette période, il rencontra des écrivains, dont Gertrude Stein, Ezra Pound et James Joyce en fréquentant la librairie Shakespeare and Company, et des artistes modernistes des années 1920 de la communauté expatriée connus sous le nom de Génération perdue, dont certains exercèrent sur lui une influence significative. Son premier roman, Le Soleil se lève aussi, a été écrit en 1926.
Après avoir divorcé d'Hadley Richardson en 1927, Hemingway épousa Pauline Pfeiffer mais ils divorcèrent après le retour d'Hemingway d'Espagne où il avait couvert la guerre civile espagnole, qui lui permit d'écrire Pour qui sonne le glas.
Martha Gellhorn devint sa troisième épouse en 1940. Mais, soucieuse de son 'indépendance', elle le quitte, quand, après qu'il eut accepté de l'accompagner en Chine pour suivre la guerre sino-japonaise, il refusa de faire de même pour l'invasion de la France. (Elle fut la seule journaliste 'femme' à poser le pied sur les plages normandes, le 6 juin 1944). 
Après cette séparation, pour lui douloureuse, Hemingway épouse en 1945 Mary Welsh. Cette union s'établit peu après la Seconde Guerre mondiale période pendant laquelle il fut présent, à distance (sans être autorisé, contrairement à Martha, son épouse d'alors), le jour du débarquement en Normandie. Puis, il put participer, plus directement, à la libération de Paris.
En 1948, Hemingway et son épouse décident de se rendre sur la Côte d'Azur mais doivent faire une escale à Gênes en raison d'une panne de leur bateau. Ils en profitent pour se rendre à Venise qu'ils ne connaissent pas et descendent à l'hôtel Gritti, fréquentent le Harry's Bar. Invité à une chasse au canard, Hemingway fait la connaissance de la comtesse Adriana Ivancich dont il tombe amoureux, et qui le rejoindra d'ailleurs à Cuba. Après quelques mois, elle repartira. Ils se reverront en Italie en 1954. Alors qu'il est fatigué, malade et dépressif, cette aventure lui redonne l'inspiration perdue, et il écrit ""Au-delà du fleuve et sous les arbres"", comme un reflet de leur idylle, en y mêlant ses propres souvenirs de Première Guerre mondiale, bien qu'il ait démenti toute ressemblance avec la réalité dans l'avertissement de la préface. Alors qu'il pense avoir écrit une œuvre remarquable, la critique américaine est féroce.
Peu de temps après la publication du Vieil homme et la mer, en 1952, qui lui valut le prix Pulitzer en 1953, Hemingway participa à un safari en Afrique, où il faillit être tué dans un accident d'avion qui le laissa perclus de douleurs et en mauvaise santé pour le reste de sa vie.
Hemingway a habité à Key West, en Floride et à La Havane pendant les années 1930 et 1940. En 1959, il quitte Cuba pour Ketchum, dans l'Idaho, où il se suicide au cours de l'été 1961.",Ernest Hemingway ˈɝnɪst ˈhɛmɪŋˌweɪ naître 21 juillet 1899 Oak Park Illinois mort 2 juillet 1961 Ketchum Idaho écrivain journaliste correspondre guerre américain son style écriture caractériser économie litote avoir influencer roman xx siècle comme faire vie aventurier image public entretenir il avoir écrire plupart œuvre entre milieu année 1920 milieu année 1950 carrière avoir culminer 1954 avoir recevoir prix Nobel littérature son roman rencontrer grand succès auprès public fait véracité lequel dépeindre personnage plusieurs œuvre élever rang classique littérature américain il avoir publier vivant sept roman six recueil nouveau deux œuvre non romanesque Trois roman quatre recueil nouveau trois œuvre non romanesque publier titre posthume hemingway naître avoir grandi Oak Park ville situer banlieue ouest Chicago Illinois après avoir quitter lycée avoir travailler pendant quelque mois tant journaliste reporter Kansas City Star avant partir front italien devenir ambulancier pendant premier guerre mondial avoir servir fondement roman Adieu arme il grièvement blesser passer alors plus trois mois hôpital à sortie engager armée italien en 1922 Hemingway épouser Hadley Richardson première quatre épouse couple installer Paris où travailler comme correspondre étranger au cours ce période rencontrer écrivain dont Gertrude Stein Ezra Pound James Joyce fréquenter librairie Shakespeare and Company artiste moderniste année 1920 communauté expatrier connaître sous nom génération perdre dont certains exercer influence significatif son premier roman le soleil lever aussi avoir écrire 1926 après avoir divorcé Hadley Richardson 1927 Hemingway épouser Pauline Pfeiffer divorcer après retour Hemingway Espagne où couvrir guerre civil espagnol permettre écrir pour sonne glas Martha Gellhorn devenir troisième épouse 1940 mais soucieuse indépendance quitte quand après accepter accompagner Chine suivre guerre refuser faire invasion France lui seul journaliste femme poser pied plage normande 6 juin 1944 après ce séparation douloureux Hemingway épous 1945 mary Welsh ce union établir peu après second guerre mondial période pendant lequel présent distance sans être autoriser contrairement Martha épouse alors jour débarquement Normandie puis put participer plus directement libération Paris en 1948 Hemingway épouse décident rendre Côte Azur devoir faire escale Gênes raison panne bateau il profitent rendre venise connaître descendent hôtel Gritti fréquentent Bar invité chasse canard Hemingway faire connaissance comtesse Adriana Ivancich dont tombe amoureux rejoindra ailleurs Cuba après quelque mois repartir il revoir Italie 1954 alors fatiguer malade dépressif ce aventure redonne inspiration perdre écrire au delà fleuve sous arbre comme reflet idylle mêler propre souvenir premier guerre mondial bien démentir tout ressemblance réalité avertissement préface alors pense avoir écrire œuvre remarquable critique américain féroce peu temps après publication vieux homme mer 1952 valoir prix pulitzer 1953 Hemingway participer safari Afrique où faillir être tuer accident avion laissa perclus douleur mauvais santé reste vie hemingway avoir habiter Key West floride le Havane pendant année 1930 1940 en 1959 quitte Cuba Ketchum idaho où suicide cours 1961,1
18,Archibald MacLeish,Génération perdue,"Archibald MacLeish (1892-1982) est un poète, dramaturge, essayiste et professeur d'université américain qui a également été bibliothécaire de la Bibliothèque du Congrès des États-Unis de 1939 à 1944. Il a fait partie du premier Conseil de chanceliers de l'Academy of American Poets. Il fut également membre de l'American Academy of Arts and Letters dès 1933.",Archibald MacLeish 1892 1982 poète dramaturge essayiste professeur université américain avoir également bibliothécaire bibliothèque congrès 1939 1944 il avoir faire partie premier conseil chancelier Academy of American Poets il également membre American Academy of art and letter dès 1933,1
19,Ezra Pound,Génération perdue,"Ezra Weston Loomis Pound (né à Hailey, alors dans le Territoire de l'Idaho, le 30 octobre 1885 – mort le 1er novembre 1972 à Venise) est un poète, musicien et critique américain qui a fait partie du mouvement moderniste du début des années 1920 et qui est souvent rattaché à la Génération perdue. Ezra Pound était le chef de file de plusieurs mouvements littéraires et artistiques comme l'imagisme et le vorticisme.
Le critique Hugh Kenner dit après avoir rencontré Pound : « J'ai soudain pris conscience que j'étais en présence du centre du modernisme. ».
Dans les années 1930 et 1940, il devient apologiste du fascisme, admirateur de Mussolini et partisan d'Hitler, publiant pour le fasciste anglais Oswald Mosley. Durant la Seconde Guerre mondiale, il anime en Italie des émissions radiophoniques pour le régime mussolinien dans lesquelles il développe un antisémitisme et un antiaméricanisme virulents. Arrêté pour trahison par les troupes américaines qui libèrent l'Italie, il est interné en hôpital psychiatrique aux États-Unis pendant douze ans avant d'être renvoyé en Italie où il décède en s'étant contraint au silence.
Il est l'auteur des Cantos, œuvre en 116 sections considérée comme un sommet de la poésie du XXe siècle. Les parties écrites à la fin de la Seconde Guerre mondiale, publiées sous le titre Les Cantos Pisans, reçurent le Prix Bollingen en 1948. À travers les Cantos, Ezra Pound a profondément influencé les poètes de sa génération comme H.D. et William Carlos Williams, les objectivistes Louis Zukofsky et Charles Reznikoff, puis Charles Olson et les beatniks Gary Snyder et Allen Ginsberg. Traduits pour la première fois en 1986, les Cantos restent méconnus dans le monde francophone.
Hemingway a affirmé que « ce que Pound a écrit de meilleur – et qui se trouve dans Les Cantos – durera aussi longtemps qu'il y aura de la littérature ». Aussi est-il considéré comme l’un des poètes majeurs et parmi les plus influents  du XXe siècle dans le monde anglo-saxon.",Ezra Weston Loomis Pound naître Hailey alors territoire idaho 30 octobre 1885 mourir premier novembre 1972 Venise poète musicien critique américain avoir faire partie mouvement moderniste début année 1920 souvent rattacher génération perdre Ezra Pound chef file plusieurs mouvement littéraire artistique comme imagisme vorticisme le critique Hugh Kenner dire après avoir rencontrer Pound soudain prendre conscience présence centre modernisme dans année 1930 1940 devenir apologist fascisme admirateur Mussolini partisan hitler publier fasciste anglais Oswald Mosley durant second guerre mondial anime Italie émission radiophonique régime mussolinien lequel développe antisémitisme antiaméricanisme virulent arrêté trahison troupe américain libérer Italie interner hôpital psychiatrique pendant douze an avant être renvoyer Italie où décéder contraindre silence il auteur canto œuvre 116 section considérer comme sommet poésie xx siècle le party écrire fin second guerre mondial publier sous titre le canto Pisans recevoir prix Bollingen 1948 à travers canto Ezra Pound avoir profondément influencer poète génération comme William Carlos Williams objectiviste Louis Zukofsky Charles Reznikoff puis Charles Olson beatnik Gary Snyder Allen Ginsberg traduit premier fois 1986 canto rester méconnaître monde francophone hemingway avoir affirmer Pound avoir écrire meilleur trouve le canto durer aussi longtemps littérature aussi considérer comme poète majeur parmi plus influent xx siècle monde,1
20,Gertrude Stein,Génération perdue,"Gertrude Stein, née le 3 février 1874 à Allegheny West en Pennsylvanie et morte le 27 juillet 1946 à l'hôpital américain de Neuilly-sur-Seine près de Paris, est une poétesse, écrivain, dramaturge et féministe américaine. Elle passa la majeure partie de sa vie en France et fut un catalyseur dans le développement de la littérature et de l'art moderne. Par sa collection personnelle et par ses livres, elle contribua à la diffusion du cubisme et plus particulièrement de l'œuvre de Picasso, de Matisse et de Cézanne.",Gertrude Stein naître 3 février 1874 Allegheny West Pennsylvanie mort 27 juillet 1946 hôpital américain près Paris poétesse écrivain dramaturge féministe américain lui passer majeur partie vie France catalyseur développement littérature art moderne par collection personnel livre contribuer diffusion cubisme plus particulièrement œuvre Picasso Matisse Cézanne,1
21,John Steinbeck,Génération perdue,"John Ernst Steinbeck, Jr. (en anglais : [ˈstaɪnbɛk]), né le 27 février 1902 à Salinas aux États-Unis et mort le 20 décembre 1968 à New York aux États-Unis, est un écrivain américain. 
Il remporte le prix Nobel de littérature en 1962 « pour ses écrits réalistes et imaginatifs, alliant à la fois un humour sympathique et une perception sociale aiguë ». On le considère comme « un géant des lettres américaines » et plusieurs de ses œuvres sont des classiques de la littérature occidentale.
Au cours de sa carrière, il publie 27 livres, dont 16 romans, six livres non romanesques et deux recueils de nouvelles. Il est largement connu pour les romans comiques Tortilla Flat (1935) et Rue de la sardine (1945), la saga familiale À l'est d'Éden (1952), ainsi que pour les courts romans Des souris et des hommes (1937) et Le Poney rouge (1937). Les Raisins de la colère (1939), lauréat du prix Pulitzer, est considéré comme son chef-d'œuvre et fait partie du canon occidental. Au cours des 75 années qui ont suivi sa publication, il s'est vendu à plus de 14 millions d'exemplaires.
La plupart des oeuvres de Steinbeck se déroulent au cœur de la Californie, en particulier dans la vallée de Salinas et les chaînes côtières californiennes. Ses œuvres ont fréquemment exploré les thèmes du destin et de l'injustice, en particulier chez les travailleurs et fermiers opprimés.",John Ernst Steinbeck Jr anglais ˈstaɪnbɛk naître 27 février 1902 salina mort 20 décembre 1968 New York écrivain américain il remporte prix Nobel littérature 1962 écrit réaliste imaginatif allier fois humour sympathique perception social aigu on considère comme géant lettre américain plusieurs œuvre classique littérature occidental au cours carrière publier 27 livre dont 16 roman six livre non romanesque deux recueil nouveau il largement connaître roman comique Tortilla Flat 1935 rue sardine 1945 saga familial à Éden 1952 ainsi court roman un souris homme 1937 le Poney rouge 1937 le raisin colère 1939 lauréat prix Pulitzer considérer comme chef œuvre faire partie canon occidental au cours 75 année suivre publication vendre plus 14 million exemplaire le plupart oeuvre Steinbeck déroulent cœur Californie particulier vallée salina chaîne côtière californien son œuvre fréquemment explorer thème destin injustice particulier chez travailleur fermier opprimé,1
22,Antoine Blondin,Hussards,"Antoine Blondin, né le 11 avril 1922 à Paris et mort le 7 juin 1991 à Paris, est un écrivain français.
Romancier et journaliste, il a aussi écrit sous le pseudonyme de Tenorio. Il est associé au mouvement des Hussards.",Antoine Blondin naître 11 avril 1922 Paris mort 7 juin 1991 Paris écrivain français romancier journaliste avoir aussi écrire sous pseudonyme Tenorio il associer mouvement hussard,2
23,Jean-François Coulomb,Hussards,"Jean-François Coulomb (1956) est un journaliste, producteur et écrivain français.",Coulomb 1956 journaliste producteur écrivain français,2
